countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,product,commodity_id,unit,priceflag,pricetype,currency,mp_price,usdprice,year,Unit_Weight,Price_Norm
NGA,2011-02-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,147.98,0.97,2011,1.0,147.98
NGA,2011-02-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,471.44,3.09,2011,1.0,471.44
NGA,2011-02-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,395.44,2.59,2011,1.0,395.44
NGA,2011-02-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,331.53,2.18,2011,1.0,331.53
NGA,2011-03-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,138.74,0.89,2011,1.0,138.74
NGA,2011-03-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,185.32,1.19,2011,1.0,185.32
NGA,2011-03-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,401.66,2.58,2011,1.0,401.66
NGA,2011-03-15,Kano,Dawakin Tofa,Dawanau,1976,12.09,8.43,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,5000.0,32.11,2011,100.0,50.0
NGA,2011-03-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,158.7,1.02,2011,1.0,158.7
NGA,2011-03-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,152.16,0.98,2011,1.0,152.16
NGA,2011-03-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,389.83,2.5,2011,1.0,389.83
NGA,2011-04-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,454.82,2.94,2011,1.0,454.82
NGA,2011-04-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,192.94,1.25,2011,1.0,192.94
NGA,2011-04-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,183.97,1.19,2011,1.0,183.97
NGA,2011-04-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,444.13,2.87,2011,1.0,444.13
NGA,2011-04-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,178.35,1.15,2011,1.0,178.35
NGA,2011-04-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,157.63,1.02,2011,1.0,157.63
NGA,2011-05-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,159.95,1.03,2011,1.0,159.95
NGA,2011-05-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,451.37,2.9,2011,1.0,451.37
NGA,2011-05-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,187.88,1.21,2011,1.0,187.88
NGA,2011-05-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,377.78,2.43,2011,1.0,377.78
NGA,2011-05-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,180.53,1.16,2011,1.0,180.53
NGA,2011-05-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,407.41,2.62,2011,1.0,407.41
NGA,2011-05-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,308.61,1.98,2011,1.0,308.61
NGA,2011-06-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,171.14,1.09,2011,1.0,171.14
NGA,2011-06-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,374.13,2.39,2011,1.0,374.13
NGA,2011-06-15,Kano,Dawakin Tofa,Dawanau,1976,12.09,8.43,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,6000.0,38.27,2011,100.0,60.0
NGA,2011-06-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,183.17,1.17,2011,1.0,183.17
NGA,2011-06-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,445.15,2.84,2011,1.0,445.15
NGA,2011-06-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,182.09,1.16,2011,1.0,182.09
NGA,2011-06-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,164.71,1.05,2011,1.0,164.71
NGA,2011-07-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,145.54,0.96,2011,1.0,145.54
NGA,2011-07-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,455.62,2.99,2011,1.0,455.62
NGA,2011-07-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,412.12,2.71,2011,1.0,412.12
NGA,2011-07-15,Kano,Dawakin Tofa,Dawanau,1976,12.09,8.43,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,5500.0,36.11,2011,100.0,55.0
NGA,2011-07-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,183.3,1.2,2011,1.0,183.3
NGA,2011-07-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,182.66,1.2,2011,1.0,182.66
NGA,2011-07-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,167.41,1.1,2011,1.0,167.41
NGA,2011-08-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,188.21,1.22,2011,1.0,188.21
